bullet,23,5,2,7,0
bullet,23,10,-2,7,0
bullet,23,15,2,7,0
bullet,23,20,-2,7,0
bullet,23,25,2,7,0
bullet,23,30,-2,7,0
bullet,23,35,2,7,0
bullet,23,40,-2,7,0
bullet,23,45,2,7,0
bullet,23,50,-2,7,0
bullet,23,55,2,7,0
bullet,23,60,-2,7,0
bullet,23,65,2,7,0
bullet,23,70,-2,7,0
bullet,23,75,2,7,0
bullet,23,80,-2,7,0
bullet,23,85,2,7,0
bullet,23,90,-2,7,0
boss,4,94,0,3,0
enemy,1,60,-7,6,0
enemy,1,63,7,6,0
enemy,1,66,-7,6,0
enemy,1,69,7,6,0
enemy,1,72,-7,6,0
enemy,1,75,7,6,0
enemy,1,78,-7,6,0
enemy,1,81,7,6,0
enemy,1,84,-7,6,0
enemy,1,87,7,6,0
enemy,1,90,-7,6,0
enemy,2,2,0,4,0
enemy,2,2,0,4,0
enemy,2,3,0,4,0
enemy,2,4,0,4,0
enemy,2,5,0,4,0
enemy,2,6,0,4,0
enemy,2,7,0,4,0
enemy,2,8,0,4,0
enemy,2,9,0,4,0
enemy,2,10,0,4,0
enemy,2,11,0,4,0
enemy,2,12,0,4,0
enemy,2,13,0,4,0
enemy,2,14,0,4,0
enemy,2,15,0,4,0
enemy,2,16,0,4,0
enemy,2,17,0,4,0
enemy,2,18,0,4,0
enemy,2,19,0,4,0
enemy,2,20,0,4,0
enemy,2,21,0,4,0
enemy,2,22,0,4,0
enemy,2,23,0,4,0
enemy,2,24,0,4,0
enemy,2,25,0,4,0
enemy,2,26,0,4,0
enemy,2,27,0,4,0
enemy,2,28,0,4,0
enemy,2,29,0,4,0
enemy,2,30,0,4,0
enemy,2,31,0,4,0
enemy,2,32,0,4,0
enemy,2,33,0,4,0
enemy,2,34,0,4,0
enemy,2,35,0,4,0
enemy,2,36,0,4,0
enemy,2,37,0,4,0
enemy,2,38,0,4,0
enemy,2,39,0,4,0
enemy,2,40,0,4,0
enemy,2,41,0,4,0
enemy,2,42,0,4,0
enemy,2,43,0,4,0
enemy,2,44,0,4,0
enemy,2,45,0,4,0
enemy,2,46,0,4,0
enemy,2,47,0,4,0
enemy,2,48,0,4,0
enemy,2,49,0,4,0
enemy,2,50,0,4,0
enemy,2,51,0,4,0
enemy,2,52,0,4,0
enemy,2,53,0,4,0
enemy,2,54,0,4,0
enemy,2,55,0,4,0
enemy,2,56,0,4,0
enemy,2,57,0,4,0
enemy,2,58,0,4,0
enemy,2,59,0,4,0
enemy,2,60,0,4,0
enemy,3,10,5,4,0
enemy,3,10,-5,4,0
enemy,3,17.5,5,4,0
enemy,3,17.5,-5,4,0
enemy,3,25,5,4,0
enemy,3,25,-5,4,0
enemy,3,32.5,5,4,0
enemy,3,32.5,-5,4,0
enemy,3,50,5,4,0
enemy,3,50,-5,4,0
enemy,3,57.5,5,4,0
enemy,3,57.5,-5,4,0
enemy,4,65,6,4,0
enemy,4,65,-6,4,0
enemy,4,72,6,4,0
enemy,4,72,-6,4,0
enemy,4,79,6,4,0
enemy,4,79,-6,4,0
enemy,4,86,6,4,0
enemy,4,86,-6,4,0
enemy,8,5,0,3.5,0
enemy,8,12.5,0,3.5,0
enemy,8,20,0,3.5,0
enemy,8,27.5,0,3.5,0
enemy,8,45,0,3.5,0
enemy,8,52.5,0,3.5,0
enemy,9,60,0,3.5,0
